section,file,part,staff,notes,mean pitch,mean fret,max fret,range (midi),outcome
chorales,BWV_0610.gp5,Guitar II,Guitar II,218,62.5,2.5,6,53-68,left as it is - already sits well
chorales,BWV_0610.gp5,Guitar III,Guitar III,220,55.5,1.4,4,46-63,left as it is - already sits well
chorales,BWV_0610.gp5,Bass,Bass,200,38.2,1.9,6,29-48,left as it is - already sits well
chorales,BWV_0611.gp5,Guitar I,Guitar III,67,67.4,4.1,8,62-72,whole piece -2 semitones
chorales,BWV_0611.gp5,Guitar II,Guitar IV,105,60.8,2.0,8,48-72,whole piece -2 semitones
chorales,BWV_0611.gp5,Guitar III,Guitar I,203,74.9,11.6,20,62-84,whole piece -2 semitones
chorales,BWV_0611.gp5,Guitar IV,Guitar II,181,70.6,7.7,18,50-82,whole piece -2 semitones
chorales,BWV_0611.gp5,Bass,Bass,20,46.2,5.5,10,40-52,whole piece -2 semitones
chorales,BWV_0612.gp5,Guitar I,Guitar II,242,62.8,2.7,8,55-72,left as it is - already sits well
chorales,BWV_0612.gp5,Guitar II,Guitar III,177,53.8,1.5,4,43-62,left as it is - already sits well
chorales,BWV_0612.gp5,Guitar III,Guitar I,53,69.4,6.1,11,62-74,left as it is - already sits well
chorales,BWV_0612.gp5,Bass,Bass,114,47.7,7.1,12,36-55,left as it is - already sits well
chorales,BWV_0613.gp5,Guitar I,Guitar I,129,67.8,4.5,14,57-78,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0613.gp5,Guitar II,Guitar II,94,67.5,6.7,15,45-78,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0613.gp5,Guitar III,Guitar III,151,58.8,1.9,10,45-73,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0613.gp5,Bass,Bass,106,36.1,2.2,6,28-47,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0614.gp5,Guitar I,Guitar I,148,68.2,4.6,14,62-78,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0614.gp5,Guitar II,Guitar III,80,56.7,1.6,4,50-67,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0614.gp5,Guitar III,Guitar II,99,62.9,1.8,6,57-70,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0614.gp5,Bass,Bass,57,45.7,4.4,12,36-55,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615.gp5,Guitar I,Guitar II,443,64.0,4.2,15,43-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615.gp5,Guitar II,Guitar I,300,64.6,5.1,17,40-81,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615.gp5,Guitar III,Guitar IV,321,61.5,3.2,16,43-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615.gp5,Guitar IV,Guitar III,155,62.4,2.9,10,47-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615.gp5,Bass,Bass,263,38.4,2.0,7,28-50,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615a.gp5,Guitar I,Guitar I,333,63.8,4.2,15,43-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615a.gp5,Guitar II,Guitar III,250,63.3,4.3,15,40-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615a.gp5,Guitar III,Guitar IV,226,62.5,3.8,17,43-81,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615a.gp5,Guitar IV,Guitar II,149,63.6,3.8,15,48-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0615a.gp5,Bass,Bass,177,45.3,3.5,12,36-55,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0616.gp5,Guitar I,Guitar I,80,67.6,4.9,13,60-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0616.gp5,Guitar II,Guitar II,191,62.1,1.8,8,52-72,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0616.gp5,Guitar III,Guitar IV,182,55.7,1.6,4,45-65,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0616.gp5,Guitar IV,Guitar III,119,61.6,2.0,7,48-71,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0616.gp5,Bass,Bass,39,37.3,1.6,4,31-45,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0617.gp5,Guitar I,Guitar II,245,64.1,3.0,12,45-76,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0617.gp5,Guitar II,Guitar IV,297,60.8,2.7,13,43-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0617.gp5,Guitar III,Guitar I,136,71.1,7.9,13,63-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0617.gp5,Guitar IV,Guitar III,166,61.4,2.2,13,47-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0617.gp5,Bass,Bass,255,39.9,1.9,7,28-50,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0618.gp5,Guitar I,Guitar I,355,72.4,8.9,18,52-82,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0618.gp5,Guitar II,Guitar III,308,61.1,2.1,10,48-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0618.gp5,Guitar III,Guitar IV,159,56.9,2.3,13,40-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0618.gp5,Guitar IV,Guitar II,89,62.9,3.9,15,53-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0619.gp5,Guitar I,Guitar II,71,70.8,7.1,17,64-81,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0619.gp5,Guitar II,Guitar IV,38,59.3,1.8,5,53-69,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0619.gp5,Guitar III,Guitar I,23,75.3,11.3,15,72-79,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0619.gp5,Guitar IV,Guitar III,46,62.3,1.6,5,57-69,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0619.gp5,Bass,Bass,59,37.1,1.5,5,28-48,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0620.gp5,Guitar I,Guitar I,190,63.6,2.7,12,56-76,left as it is - already sits well
chorales,BWV_0620.gp5,Guitar II,Guitar III,215,54.3,1.8,7,45-71,left as it is - already sits well
chorales,BWV_0620.gp5,Guitar III,Guitar II,125,63.1,3.1,12,50-76,left as it is - already sits well
chorales,BWV_0620.gp5,Bass,Bass,75,44.5,3.2,9,37-52,left as it is - already sits well
chorales,BWV_0620a.gp5,Guitar I,Guitar II,166,60.0,2.0,12,47-76,left as it is - already sits well
chorales,BWV_0620a.gp5,Guitar II,Guitar III,186,57.6,1.9,9,45-73,left as it is - already sits well
chorales,BWV_0620a.gp5,Guitar III,Guitar I,123,62.9,3.9,12,45-76,left as it is - already sits well
chorales,BWV_0620a.gp5,Bass,Bass,74,44.5,3.2,9,37-52,left as it is - already sits well
chorales,BWV_0621.gp5,Guitar I,Guitar I,50,68.0,4.2,10,62-74,left as it is - already sits well
chorales,BWV_0621.gp5,Guitar II,Guitar III,147,55.2,1.5,6,43-65,left as it is - already sits well
chorales,BWV_0621.gp5,Guitar III,Guitar II,112,62.1,1.8,5,55-69,left as it is - already sits well
chorales,BWV_0621.gp5,Bass,Bass,71,37.2,1.7,4,28-47,left as it is - already sits well
chorales,BWV_0622.gp5,Guitar I,Guitar I,369,69.1,6.0,18,58-82,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0622.gp5,Guitar II,Guitar II,218,63.0,2.9,8,55-70,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0622.gp5,Guitar III,Guitar III,220,57.3,1.6,6,46-70,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0622.gp5,Bass,Bass,173,47.8,6.8,12,36-55,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0622a.gp5,Guitar I,Guitar I,317,69.0,6.0,18,53-82,down an octave
chorales,BWV_0622a.gp5,Guitar II,Guitar II,126,68.6,5.3,13,58-77,down an octave
chorales,BWV_0623.gp5,Guitar I,Guitar I,50,69.7,5.7,12,64-76,left as it is - already sits well
chorales,BWV_0623.gp5,Guitar II,Guitar II,115,63.8,2.1,7,59-71,left as it is - already sits well
chorales,BWV_0623.gp5,Guitar III,Guitar III,110,58.2,1.2,4,50-67,left as it is - already sits well
chorales,BWV_0623.gp5,Bass,Bass,98,42.3,3.1,12,28-55,left as it is - already sits well
chorales,BWV_0624.gp5,Guitar I,Guitar I,63,68.7,5.2,10,62-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0624.gp5,Guitar II,Guitar III,382,62.3,4.1,18,43-80,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0624.gp5,Guitar III,Guitar II,67,62.3,1.8,5,55-69,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0624.gp5,Bass,Bass,106,39.7,2.2,8,30-50,left as it is - nothing lower fits without falling off the neck
